date,country,category,type,query_id,keyword,score
2025-10-12,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,34
2025-10-19,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,65
2025-10-26,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,53
2025-11-02,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,44
2025-11-09,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,66
2025-11-16,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,91
2025-11-23,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,46
2025-11-30,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,70
2025-12-07,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,75
2025-12-14,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,63
2025-12-21,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,70
2025-12-28,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,90
2023-12-31,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-01-07,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-01-14,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-01-21,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-01-28,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-02-04,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-02-11,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-02-18,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-02-25,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-03-03,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-03-10,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-03-17,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-03-24,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-03-31,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
