year,exporter,exporter_iso3,importer,importer_iso3,trade_value_usd
2018,France,FRA,Egypt,EGY,12357785.636
2018,France,FRA,United Kingdom,GBR,601009264.681
2018,France,FRA,United Rep. of Tanzania,TZA,105518.672
2018,France,FRA,USA,USA,1032258582.671
2018,France,FRA,Burkina Faso,BFA,1007851.359
2018,France,FRA,Uruguay,URY,8537089.211
2018,France,FRA,Uzbekistan,UZB,1268501.127
2018,France,FRA,Venezuela,VEN,64765.313
2018,France,FRA,Wallis and Futuna Isds,WLF,34343.792
2018,France,FRA,Yemen,YEM,132954.495
2018,France,FRA,"Areas, nes",_X ,1946066.749
2019,France,FRA,Afghanistan,AFG,217294.214
2019,France,FRA,Albania,ALB,1190617.83
2019,France,FRA,Algeria,DZA,61842173.842
2019,France,FRA,Andorra,AND,12824153.057
2019,France,FRA,Angola,AGO,989161.886
2019,France,FRA,Azerbaijan,AZE,6610343.769
2019,France,FRA,Argentina,ARG,26870009.319
2019,France,FRA,Australia,AUS,93560056.411
2019,France,FRA,Austria,AUT,44885247.783
2019,France,FRA,Bahamas,BHS,90225.293
2019,France,FRA,Bahrain,BHR,5725168.536
2019,France,FRA,Bangladesh,BGD,1150564.226
2019,France,FRA,Armenia,ARM,1257355.548
2019,France,FRA,Barbados,BRB,5014.818
2019,France,FRA,Belgium,BEL,232179174.031
2019,France,FRA,Bermuda,BMU,1883621.082
2019,France,FRA,Bolivia (Plurinational State of),BOL,812181.029
2019,France,FRA,Bosnia Herzegovina,BIH,414833.696
2019,France,FRA,Botswana,BWA,3140.559
2019,France,FRA,Brazil,BRA,52281740.09
2019,France,FRA,Br. Virgin Isds,VGB,23624.169
2019,France,FRA,Brunei Darussalam,BRN,4444.927
2019,France,FRA,Bulgaria,BGR,18066093.127
2019,France,FRA,Myanmar,MMR,1185946.738
2019,France,FRA,Burundi,BDI,113.083
2019,France,FRA,Belarus,BLR,3993289.636
2019,France,FRA,Cambodia,KHM,1526319.515
2019,France,FRA,Cameroon,CMR,2692933.621
2019,France,FRA,Canada,CAN,159128487.281
2019,France,FRA,Cabo Verde,CPV,31801.939
2019,France,FRA,Cayman Isds,CYM,158346.873
2019,France,FRA,Central African Rep.,CAF,7658.262
